year_fall,term_fall,crn_fall,professor,course,gpa_fall,n_students_fall,instruction_method_fall,As_fall,Bs_fall,Cs_fall,Ds_fall,Fs_fall,withdrawal_while_failing_fall,As_through_WFs_fall,DWFs_fall,other_fall,A_plus_fall,A_regular_fall,A_minus_fall,B_plus_fall,B_regular_fall,B_minus_fall,C_plus_fall,C_regular_fall,C_minus_fall,D_regular_fall,F_regular_fall,year_spring,term_spring,crn_spring,gpa_spring,n_students_spring,instruction_method_spring,As_spring,Bs_spring,Cs_spring,Ds_spring,Fs_spring,withdrawal_while_failing_spring,As_through_WFs_spring,DWFs_spring,other_spring,A_plus_spring,A_regular_spring,A_minus_spring,B_plus_spring,B_regular_spring,B_minus_spring,C_plus_spring,C_regular_spring,C_minus_spring,D_regular_spring,F_regular_spring,diff
2019,Spring,10104,"Maxwell, Robert",BIOL 3910,3.74,22,T,13,6,0,0,0,0,19,13.6,0,3,8,2,2,3,1,0,0,0,0,0,2020,Spring,10095,3.16,22,T,10,4,4,1,0,0,19,18.2,0,1,6,3,1,3,0,1,1,2,1,0,-0.5800000000000001
2019,Spring,10104,"Maxwell, Robert",BIOL 3910,3.74,22,T,13,6,0,0,0,0,19,13.6,0,3,8,2,2,3,1,0,0,0,0,0,2020,Spring,12608,3.54,23,T,7,6,0,0,0,0,13,43.5,0,0,5,2,2,3,1,0,0,0,0,0,-0.20000000000000018
2019,Spring,10104,"Maxwell, Robert",BIOL 3910,3.74,22,T,13,6,0,0,0,0,19,13.6,0,3,8,2,2,3,1,0,0,0,0,0,2020,Spring,13087,3.27,21,T,7,5,3,0,0,0,15,28.6,0,1,4,2,1,2,2,2,1,0,0,0,-0.4700000000000002
2019,Spring,10125,"Varadarajan, Deepa",BUSA 2106,2.95,120,T,38,44,25,8,2,0,117,9.2,2,11,17,10,19,10,15,10,11,4,8,2,2020,Spring,10119,3.37,105,T,43,54,7,0,0,0,104,1,0,9,21,13,24,15,15,4,1,2,0,0,0.41999999999999993
2019,Spring,10126,"Willey, Susan",BUSA 2106,3.73,15,T,11,4,0,0,0,0,15,0,0,1,6,4,3,0,1,0,0,0,0,0,2020,Spring,10123,2.35,94,T,17,21,22,8,9,0,77,36.2,0,2,9,6,4,9,8,7,9,6,8,9,-1.38
2019,Spring,10127,"Grelecki, Ryan",BUSA 2106,3.82,120,T,95,16,3,1,3,0,118,5,0,57,25,13,9,5,2,1,2,0,1,3,2020,Spring,13882,3.36,47,T,25,12,6,1,0,0,44,8.5,0,9,6,10,1,6,5,1,4,1,1,0,-0.45999999999999996
2019,Spring,10128,"Binder, Perry",BUSA 2106,2.58,45,T,12,14,10,4,3,0,43,20,0,2,6,4,2,6,6,1,5,4,4,3,2020,Spring,10114,3.02,42,T,10,29,2,0,1,0,42,2.4,0,1,2,7,4,14,11,0,2,0,0,1,0.43999999999999995
2019,Spring,10129,"Deloach, Carol",BUSA 2106,2.18,45,T,5,14,16,6,3,0,44,22.2,0,0,4,1,0,7,7,0,9,7,6,3,2020,Spring,10116,2.49,43,T,7,18,9,3,4,0,41,20.9,0,0,4,3,5,7,6,1,6,2,3,4,0.31000000000000005
2019,Spring,10130,"Sherman, Peggy",BUSA 2106,2.92,120,T,38,44,26,2,5,0,115,10,0,8,19,11,8,22,14,5,18,3,2,5,2020,Spring,10118,3.34,108,T,59,30,12,2,2,0,105,6.5,0,8,37,14,7,14,9,4,7,1,2,2,0.41999999999999993
2019,Spring,10132,"Strong, Michael",BUSA 2106,3.11,59,T,13,24,7,0,0,0,44,11.9,8,1,7,5,6,12,6,3,3,1,0,0,2020,Spring,10121,3.5,45,T,16,14,0,0,0,0,30,6.7,12,6,3,7,3,7,4,0,0,0,0,0,0.3900000000000001
2019,Spring,10134,"Lucke, James",BUSA 2106,3.05,45,T,14,20,8,2,0,0,44,4.4,1,3,7,4,6,8,6,3,3,2,2,0,2020,Spring,10117,3.02,44,T,16,17,9,0,1,0,43,2.3,1,1,9,6,3,8,6,3,2,4,0,1,-0.029999999999999805
2019,Spring,10136,"Pinho, Maria Luiza",BUSA 3000,3.24,46,T,14,29,2,0,0,0,45,0,1,2,3,9,12,6,11,1,1,0,0,0,2020,Spring,10129,3.43,45,T,28,11,4,0,1,0,44,4.4,0,5,10,13,5,4,2,1,1,2,0,1,0.18999999999999995
2019,Spring,10137,"Doria, Evaristo",BUSA 3000,3.57,149,T,95,46,4,1,0,0,146,2.7,0,1,48,46,24,18,4,4,0,0,1,0,2020,Spring,10124,3.6,45,H,29,14,2,0,0,0,45,0,0,1,17,11,9,3,2,2,0,0,0,0,0.03000000000000025
2019,Spring,10137,"Doria, Evaristo",BUSA 3000,3.57,149,T,95,46,4,1,0,0,146,2.7,0,1,48,46,24,18,4,4,0,0,1,0,2020,Spring,20141,3.64,45,H,30,14,1,0,0,0,45,0,0,1,21,8,8,6,0,0,0,1,0,0,0.07000000000000028
2019,Spring,10138,"Pinho, Maria Luiza",BUSA 3000,3.12,44,T,15,22,5,1,0,0,43,4.6,0,0,4,11,5,13,4,3,0,2,1,0,2020,Spring,10129,3.43,45,T,28,11,4,0,1,0,44,4.4,0,5,10,13,5,4,2,1,1,2,0,1,0.31000000000000005
2019,Spring,10141,"De Farias, Salomao",BUSA 3000,2.62,43,T,6,21,8,0,4,0,39,16.3,1,0,3,3,9,4,8,1,4,3,0,4,2020,Spring,10126,3.32,146,T,75,50,3,2,5,0,135,11.6,1,5,22,48,21,16,13,2,0,1,2,5,0.6999999999999997
2019,Spring,10142,"Dionne, Steven",BUSA 4980,3.05,42,T,13,20,7,0,1,0,41,4.8,0,1,0,12,8,9,3,4,2,1,0,1,2020,Spring,10131,3.58,46,T,31,12,2,0,0,0,45,2.2,0,4,8,19,5,6,1,2,0,0,0,0,0.5300000000000002
2019,Spring,10142,"Dionne, Steven",BUSA 4980,3.05,42,T,13,20,7,0,1,0,41,4.8,0,1,0,12,8,9,3,4,2,1,0,1,2020,Spring,10134,3.49,45,T,22,22,1,0,0,0,45,0,0,1,8,13,16,4,2,0,1,0,0,0,0.4400000000000004
2019,Spring,10142,"Dionne, Steven",BUSA 4980,3.05,42,T,13,20,7,0,1,0,41,4.8,0,1,0,12,8,9,3,4,2,1,0,1,2020,Spring,12678,3.47,45,T,21,22,2,0,0,0,45,0,0,2,13,6,9,12,1,2,0,0,0,0,0.4200000000000004
2019,Spring,10143,"White, Marta",BUSA 4980,3.48,31,T,16,13,2,0,0,0,31,0,0,5,6,5,4,7,2,1,0,1,0,0,2020,Spring,10132,3.47,30,T,15,11,4,0,0,0,30,0,0,10,3,2,4,4,3,2,1,1,0,0,-0.009999999999999787
2019,Spring,10143,"White, Marta",BUSA 4980,3.48,31,T,16,13,2,0,0,0,31,0,0,5,6,5,4,7,2,1,0,1,0,0,2020,Spring,13883,3.02,45,T,15,17,12,0,0,0,44,2.2,0,3,5,7,8,8,1,0,3,9,0,0,-0.45999999999999996
2019,Spring,10144,"Park, Brian",BUSA 4980,3.21,48,T,20,21,5,0,2,0,48,4.2,0,5,7,8,10,8,3,1,2,2,0,2,2020,Spring,10137,3.6,44,T,25,18,0,0,0,0,43,0,1,5,15,5,7,7,4,0,0,0,0,0,0.3900000000000001
2019,Spring,10144,"Park, Brian",BUSA 4980,3.21,48,T,20,21,5,0,2,0,48,4.2,0,5,7,8,10,8,3,1,2,2,0,2,2020,Spring,10138,3.47,45,T,20,25,0,0,0,0,45,0,0,7,7,6,8,10,7,0,0,0,0,0,0.26000000000000023
2019,Spring,10144,"Park, Brian",BUSA 4980,3.21,48,T,20,21,5,0,2,0,48,4.2,0,5,7,8,10,8,3,1,2,2,0,2,2020,Spring,13843,3.53,45,T,24,21,0,0,0,0,45,0,0,5,11,8,9,7,5,0,0,0,0,0,0.31999999999999984
2019,Spring,10145,"Dionne, Steven",BUSA 4980,3.11,46,T,12,29,4,1,0,0,46,2.2,0,1,5,6,8,12,9,4,0,0,1,0,2020,Spring,10131,3.58,46,T,31,12,2,0,0,0,45,2.2,0,4,8,19,5,6,1,2,0,0,0,0,0.4700000000000002
2019,Spring,10145,"Dionne, Steven",BUSA 4980,3.11,46,T,12,29,4,1,0,0,46,2.2,0,1,5,6,8,12,9,4,0,0,1,0,2020,Spring,10134,3.49,45,T,22,22,1,0,0,0,45,0,0,1,8,13,16,4,2,0,1,0,0,0,0.38000000000000034
2019,Spring,10145,"Dionne, Steven",BUSA 4980,3.11,46,T,12,29,4,1,0,0,46,2.2,0,1,5,6,8,12,9,4,0,0,1,0,2020,Spring,12678,3.47,45,T,21,22,2,0,0,0,45,0,0,2,13,6,9,12,1,2,0,0,0,0,0.3600000000000003
2019,Spring,10146,"White, Marta",BUSA 4980,2.73,41,T,8,15,18,0,0,0,41,0,0,2,3,3,4,3,8,5,9,4,0,0,2020,Spring,10132,3.47,30,T,15,11,4,0,0,0,30,0,0,10,3,2,4,4,3,2,1,1,0,0,0.7400000000000002
2019,Spring,10146,"White, Marta",BUSA 4980,2.73,41,T,8,15,18,0,0,0,41,0,0,2,3,3,4,3,8,5,9,4,0,0,2020,Spring,13883,3.02,45,T,15,17,12,0,0,0,44,2.2,0,3,5,7,8,8,1,0,3,9,0,0,0.29000000000000004
2019,Spring,10147,"Park, Brian",BUSA 4980,3.38,45,T,20,23,2,0,0,0,45,0,0,3,9,8,7,9,7,1,0,1,0,0,2020,Spring,10137,3.6,44,T,25,18,0,0,0,0,43,0,1,5,15,5,7,7,4,0,0,0,0,0,0.2200000000000002
2019,Spring,10147,"Park, Brian",BUSA 4980,3.38,45,T,20,23,2,0,0,0,45,0,0,3,9,8,7,9,7,1,0,1,0,0,2020,Spring,10138,3.47,45,T,20,25,0,0,0,0,45,0,0,7,7,6,8,10,7,0,0,0,0,0,0.0900000000000003
2019,Spring,10147,"Park, Brian",BUSA 4980,3.38,45,T,20,23,2,0,0,0,45,0,0,3,9,8,7,9,7,1,0,1,0,0,2020,Spring,13843,3.53,45,T,24,21,0,0,0,0,45,0,0,5,11,8,9,7,5,0,0,0,0,0,0.1499999999999999
2019,Spring,10148,"Matherne, Brett",BUSA 4980,2.91,47,T,8,27,12,0,0,0,47,0,0,2,5,1,8,10,9,4,4,4,0,0,2020,Spring,13844,2.71,45,T,4,25,16,0,0,0,45,0,0,0,0,4,7,10,8,6,6,4,0,0,-0.20000000000000018
2019,Spring,10149,"Park, Brian",BUSA 4980,3.17,46,T,18,21,6,0,1,0,46,2.2,0,1,5,12,10,8,3,2,3,1,0,1,2020,Spring,10137,3.6,44,T,25,18,0,0,0,0,43,0,1,5,15,5,7,7,4,0,0,0,0,0,0.43000000000000016
2019,Spring,10149,"Park, Brian",BUSA 4980,3.17,46,T,18,21,6,0,1,0,46,2.2,0,1,5,12,10,8,3,2,3,1,0,1,2020,Spring,10138,3.47,45,T,20,25,0,0,0,0,45,0,0,7,7,6,8,10,7,0,0,0,0,0,0.30000000000000027
2019,Spring,10149,"Park, Brian",BUSA 4980,3.17,46,T,18,21,6,0,1,0,46,2.2,0,1,5,12,10,8,3,2,3,1,0,1,2020,Spring,13843,3.53,45,T,24,21,0,0,0,0,45,0,0,5,11,8,9,7,5,0,0,0,0,0,0.3599999999999999
2019,Spring,10166,"Stroeva, Elina",CHEM 1212 K,2.32,39,T,6,11,11,0,6,0,34,25.6,1,1,4,1,3,3,5,4,4,3,0,6,2020,Spring,10156,3.33,21,T,9,6,3,0,0,0,18,14.3,0,3,4,2,1,1,4,2,1,0,0,0,1.0100000000000002
2019,Spring,10166,"Stroeva, Elina",CHEM 1212 K,2.32,39,T,6,11,11,0,6,0,34,25.6,1,1,4,1,3,3,5,4,4,3,0,6,2020,Spring,10157,3.28,33,T,14,10,4,0,1,0,29,15.2,0,1,9,4,6,1,3,2,2,0,0,1,0.96
2019,Spring,10166,"Stroeva, Elina",CHEM 1212 K,2.32,39,T,6,11,11,0,6,0,34,25.6,1,1,4,1,3,3,5,4,4,3,0,6,2020,Spring,10158,2.93,30,T,9,11,7,2,0,0,29,10,0,0,5,4,2,6,3,5,2,0,2,0,0.6100000000000003
2019,Spring,10166,"Stroeva, Elina",CHEM 1212 K,2.32,39,T,6,11,11,0,6,0,34,25.6,1,1,4,1,3,3,5,4,4,3,0,6,2020,Spring,14316,2.62,14,T,3,3,6,0,1,0,13,14.3,0,1,2,0,1,0,2,3,2,1,0,1,0.30000000000000027
