year_fall,term_fall,crn_fall,professor,course,gpa_fall,n_students_fall,instruction_method_fall,course_modality_fall,As_fall,Bs_fall,Cs_fall,Ds_fall,Fs_fall,withdrawal_while_failing_fall,As_through_WFs_fall,DWFs_fall,other_fall,A_plus_fall,A_regular_fall,A_minus_fall,B_plus_fall,B_regular_fall,B_minus_fall,C_plus_fall,C_regular_fall,C_minus_fall,D_regular_fall,F_regular_fall,term_year_fall,term_year_ordered_fall,course_prefix_fall,course_pnbr_fall,course_level_fall,year_spring,term_spring,crn_spring,gpa_spring,n_students_spring,instruction_method_spring,course_modality_spring,As_spring,Bs_spring,Cs_spring,Ds_spring,Fs_spring,withdrawal_while_failing_spring,As_through_WFs_spring,DWFs_spring,other_spring,A_plus_spring,A_regular_spring,A_minus_spring,B_plus_spring,B_regular_spring,B_minus_spring,C_plus_spring,C_regular_spring,C_minus_spring,D_regular_spring,F_regular_spring,term_year_spring,term_year_ordered_spring,course_prefix_spring,course_pnbr_spring,course_level_spring,diff,academic_year,course_modality,course_level
2019,Fall,80060,"Nusnbaum, Matthew",BIOL 3840,2.55,58,H,Hybrid,10,22,11,8,2,0,53,24.1,1,1,5,4,3,14,5,3,7,1,8,2,Fall 2019,5,BIOL ,3840,Undergraduate,2020,Spring,17700,2.03,42,H,Hybrid,0,16,7,7,4,0,34,40.5,2,0,0,0,4,11,1,1,3,3,7,4,Spring 2020,6,BIOL ,3840,Undergraduate,-0.52,2019-2020,Hybrid,Undergraduate
2019,Fall,80062,"Zellars, Malcolm",BIOL 3900,2.54,50,T,Face-to-Face,14,10,16,3,5,0,48,20,0,1,7,6,5,2,3,5,11,0,3,5,Fall 2019,5,BIOL ,3900,Undergraduate,2020,Spring,10093,3.07,49,T,Face-to-Face,12,24,6,1,1,0,44,14.3,0,1,6,5,10,10,4,3,3,0,1,1,Spring 2020,6,BIOL ,3900,Undergraduate,0.5299999999999998,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80062,"Zellars, Malcolm",BIOL 3900,2.54,50,T,Face-to-Face,14,10,16,3,5,0,48,20,0,1,7,6,5,2,3,5,11,0,3,5,Fall 2019,5,BIOL ,3900,Undergraduate,2020,Spring,10094,2.92,57,T,Face-to-Face,15,22,10,2,2,0,51,17.5,0,1,11,3,4,14,4,5,5,0,2,2,Spring 2020,6,BIOL ,3900,Undergraduate,0.3799999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80062,"Zellars, Malcolm",BIOL 3900,2.54,50,T,Face-to-Face,14,10,16,3,5,0,48,20,0,1,7,6,5,2,3,5,11,0,3,5,Fall 2019,5,BIOL ,3900,Undergraduate,2020,Spring,11544,4,6,T,Face-to-Face,4,0,0,0,0,0,4,33.3,0,0,3,1,0,0,0,0,0,0,0,0,Spring 2020,6,BIOL ,3900,Undergraduate,1.46,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80063,"Zellars, Malcolm",BIOL 3900,2.56,60,T,Face-to-Face,15,12,17,8,3,0,55,26.7,0,3,11,1,5,6,1,5,12,0,8,3,Fall 2019,5,BIOL ,3900,Undergraduate,2020,Spring,10093,3.07,49,T,Face-to-Face,12,24,6,1,1,0,44,14.3,0,1,6,5,10,10,4,3,3,0,1,1,Spring 2020,6,BIOL ,3900,Undergraduate,0.5099999999999998,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80063,"Zellars, Malcolm",BIOL 3900,2.56,60,T,Face-to-Face,15,12,17,8,3,0,55,26.7,0,3,11,1,5,6,1,5,12,0,8,3,Fall 2019,5,BIOL ,3900,Undergraduate,2020,Spring,10094,2.92,57,T,Face-to-Face,15,22,10,2,2,0,51,17.5,0,1,11,3,4,14,4,5,5,0,2,2,Spring 2020,6,BIOL ,3900,Undergraduate,0.3599999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80063,"Zellars, Malcolm",BIOL 3900,2.56,60,T,Face-to-Face,15,12,17,8,3,0,55,26.7,0,3,11,1,5,6,1,5,12,0,8,3,Fall 2019,5,BIOL ,3900,Undergraduate,2020,Spring,11544,4,6,T,Face-to-Face,4,0,0,0,0,0,4,33.3,0,0,3,1,0,0,0,0,0,0,0,0,Spring 2020,6,BIOL ,3900,Undergraduate,1.44,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80064,"Maxwell, Robert",BIOL 3910,2.43,10,T,Face-to-Face,2,2,1,1,1,0,7,40,1,1,0,1,1,0,1,1,0,0,1,1,Fall 2019,5,BIOL ,3910,Undergraduate,2020,Spring,10095,3.16,22,T,Face-to-Face,10,4,4,1,0,0,19,18.2,0,1,6,3,1,3,0,1,1,2,1,0,Spring 2020,6,BIOL ,3910,Undergraduate,0.73,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80064,"Maxwell, Robert",BIOL 3910,2.43,10,T,Face-to-Face,2,2,1,1,1,0,7,40,1,1,0,1,1,0,1,1,0,0,1,1,Fall 2019,5,BIOL ,3910,Undergraduate,2020,Spring,12608,3.54,23,T,Face-to-Face,7,6,0,0,0,0,13,43.5,0,0,5,2,2,3,1,0,0,0,0,0,Spring 2020,6,BIOL ,3910,Undergraduate,1.1099999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80064,"Maxwell, Robert",BIOL 3910,2.43,10,T,Face-to-Face,2,2,1,1,1,0,7,40,1,1,0,1,1,0,1,1,0,0,1,1,Fall 2019,5,BIOL ,3910,Undergraduate,2020,Spring,13087,3.27,21,T,Face-to-Face,7,5,3,0,0,0,15,28.6,0,1,4,2,1,2,2,2,1,0,0,0,Spring 2020,6,BIOL ,3910,Undergraduate,0.8399999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80065,"Maxwell, Robert",BIOL 3910,3.05,24,T,Face-to-Face,6,9,5,0,0,0,20,16.7,0,0,4,2,2,4,3,4,1,0,0,0,Fall 2019,5,BIOL ,3910,Undergraduate,2020,Spring,10095,3.16,22,T,Face-to-Face,10,4,4,1,0,0,19,18.2,0,1,6,3,1,3,0,1,1,2,1,0,Spring 2020,6,BIOL ,3910,Undergraduate,0.11000000000000032,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80065,"Maxwell, Robert",BIOL 3910,3.05,24,T,Face-to-Face,6,9,5,0,0,0,20,16.7,0,0,4,2,2,4,3,4,1,0,0,0,Fall 2019,5,BIOL ,3910,Undergraduate,2020,Spring,12608,3.54,23,T,Face-to-Face,7,6,0,0,0,0,13,43.5,0,0,5,2,2,3,1,0,0,0,0,0,Spring 2020,6,BIOL ,3910,Undergraduate,0.4900000000000002,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80065,"Maxwell, Robert",BIOL 3910,3.05,24,T,Face-to-Face,6,9,5,0,0,0,20,16.7,0,0,4,2,2,4,3,4,1,0,0,0,Fall 2019,5,BIOL ,3910,Undergraduate,2020,Spring,13087,3.27,21,T,Face-to-Face,7,5,3,0,0,0,15,28.6,0,1,4,2,1,2,2,2,1,0,0,0,Spring 2020,6,BIOL ,3910,Undergraduate,0.2200000000000002,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80084,"Kuratnick, Jeffrey",3DS 3150,3.5,19,T,Face-to-Face,11,5,2,0,0,0,18,0,1,0,5,6,4,1,0,2,0,0,0,0,Fall 2019,5,DS ,33150,Graduate,2020,Spring,12891,3.94,18,T,Face-to-Face,15,2,0,0,0,0,17,5.6,0,2,12,1,2,0,0,0,0,0,0,0,Spring 2020,6,DS ,33150,Graduate,0.43999999999999995,2019-2020,Face-to-Face,Graduate
2019,Fall,80095,"Thota, Jyotsna",CHEM 1211 K,1.23,15,T,Face-to-Face,1,3,1,1,7,0,13,66.7,0,0,0,1,1,1,1,1,0,0,1,7,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,14319,3.11,48,T,Face-to-Face,14,14,7,1,1,0,37,25,1,4,5,5,5,6,3,4,3,0,1,1,Spring 2020,6,CHEM  K,1211,Undergraduate,1.88,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80095,"Thota, Jyotsna",CHEM 1211 K,1.23,15,T,Face-to-Face,1,3,1,1,7,0,13,66.7,0,0,0,1,1,1,1,1,0,0,1,7,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,14614,2.95,48,T,Face-to-Face,9,19,8,0,1,0,37,25,0,2,3,4,3,14,2,4,2,2,0,1,Spring 2020,6,CHEM  K,1211,Undergraduate,1.7200000000000002,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80098,"Stroeva, Elina",CHEM 1211 K,2.24,22,T,Face-to-Face,2,7,9,1,2,0,21,18.2,0,1,0,1,2,2,3,2,3,4,1,2,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,10148,3.06,24,T,Face-to-Face,10,2,5,0,1,0,18,29.2,0,0,7,3,0,2,0,1,2,2,0,1,Spring 2020,6,CHEM  K,1211,Undergraduate,0.8199999999999998,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80098,"Stroeva, Elina",CHEM 1211 K,2.24,22,T,Face-to-Face,2,7,9,1,2,0,21,18.2,0,1,0,1,2,2,3,2,3,4,1,2,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,10729,2.48,48,T,Face-to-Face,7,18,9,1,5,0,40,27.1,1,0,3,4,2,9,7,1,8,0,1,5,Spring 2020,6,CHEM  K,1211,Undergraduate,0.23999999999999977,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80098,"Stroeva, Elina",CHEM 1211 K,2.24,22,T,Face-to-Face,2,7,9,1,2,0,21,18.2,0,1,0,1,2,2,3,2,3,4,1,2,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,12965,3,49,T,Face-to-Face,17,12,11,0,2,0,42,18.4,0,3,9,5,3,7,2,3,5,3,0,2,Spring 2020,6,CHEM  K,1211,Undergraduate,0.7599999999999998,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80098,"Stroeva, Elina",CHEM 1211 K,2.24,22,T,Face-to-Face,2,7,9,1,2,0,21,18.2,0,1,0,1,2,2,3,2,3,4,1,2,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,13408,3.1,11,T,Face-to-Face,4,3,3,0,0,0,10,9.1,0,1,2,1,0,3,0,1,1,1,0,0,Spring 2020,6,CHEM  K,1211,Undergraduate,0.8599999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80100,"Stroeva, Elina",CHEM 1211 K,2.3,33,T,Face-to-Face,2,12,11,2,3,0,30,24.2,0,1,1,0,2,7,3,5,3,3,2,3,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,10148,3.06,24,T,Face-to-Face,10,2,5,0,1,0,18,29.2,0,0,7,3,0,2,0,1,2,2,0,1,Spring 2020,6,CHEM  K,1211,Undergraduate,0.7600000000000002,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80100,"Stroeva, Elina",CHEM 1211 K,2.3,33,T,Face-to-Face,2,12,11,2,3,0,30,24.2,0,1,1,0,2,7,3,5,3,3,2,3,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,10729,2.48,48,T,Face-to-Face,7,18,9,1,5,0,40,27.1,1,0,3,4,2,9,7,1,8,0,1,5,Spring 2020,6,CHEM  K,1211,Undergraduate,0.18000000000000016,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80100,"Stroeva, Elina",CHEM 1211 K,2.3,33,T,Face-to-Face,2,12,11,2,3,0,30,24.2,0,1,1,0,2,7,3,5,3,3,2,3,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,12965,3,49,T,Face-to-Face,17,12,11,0,2,0,42,18.4,0,3,9,5,3,7,2,3,5,3,0,2,Spring 2020,6,CHEM  K,1211,Undergraduate,0.7000000000000002,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80100,"Stroeva, Elina",CHEM 1211 K,2.3,33,T,Face-to-Face,2,12,11,2,3,0,30,24.2,0,1,1,0,2,7,3,5,3,3,2,3,Fall 2019,5,CHEM  K,1211,Undergraduate,2020,Spring,13408,3.1,11,T,Face-to-Face,4,3,3,0,0,0,10,9.1,0,1,2,1,0,3,0,1,1,1,0,0,Spring 2020,6,CHEM  K,1211,Undergraduate,0.8000000000000003,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80143,"Belkasim, Saeid",CSC 4210,2.85,50,T,Face-to-Face,18,12,11,2,5,0,48,18,0,3,15,0,5,7,0,7,4,0,2,5,Fall 2019,5,CSC ,4210,Undergraduate,2020,Spring,16692,3.22,49,T,Face-to-Face,17,15,13,0,0,0,45,8.2,0,6,11,0,6,9,0,8,5,0,0,0,Spring 2020,6,CSC ,4210,Undergraduate,0.3700000000000001,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80172,"Derrick, Keith",ENGL 1101,3.21,25,T,Face-to-Face,13,6,4,0,1,0,24,4,1,0,8,5,2,4,0,1,3,0,0,1,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,10221,3.4,25,T,Face-to-Face,14,8,3,0,0,0,25,0,0,2,7,5,3,2,3,0,3,0,0,0,Spring 2020,6,ENGL ,1101,Undergraduate,0.18999999999999995,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80179,"Creson, Caitlin",ENGL 1101,3.13,25,T,Face-to-Face,15,5,0,2,2,0,24,20,0,0,9,6,1,1,3,0,0,0,2,2,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,18890,2.52,25,T,Face-to-Face,11,2,4,0,6,0,23,28,1,0,8,3,2,0,0,0,4,0,0,6,Spring 2020,6,ENGL ,1101,Undergraduate,-0.6099999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80180,"Rogers, Amanda",ENGL 1101,3.09,25,T,Face-to-Face,13,6,0,1,3,0,23,24,0,3,5,5,3,3,0,0,0,0,1,3,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,13612,3.14,24,T,Face-to-Face,16,1,1,1,3,0,22,25,0,3,6,7,1,0,0,0,1,0,1,3,Spring 2020,6,ENGL ,1101,Undergraduate,0.050000000000000266,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80182,"Brooks, Jody",ENGL 1101,3.42,25,H,Hybrid,12,5,0,0,2,0,19,12,5,7,3,2,2,2,1,0,0,0,0,2,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,13457,3.5,25,H,Hybrid,15,6,2,0,1,0,24,8,0,4,10,1,2,4,0,0,2,0,0,1,Spring 2020,6,ENGL ,1101,Undergraduate,0.08000000000000007,2019-2020,Hybrid,Undergraduate
2019,Fall,80182,"Brooks, Jody",ENGL 1101,3.42,25,H,Hybrid,12,5,0,0,2,0,19,12,5,7,3,2,2,2,1,0,0,0,0,2,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,14257,3.77,26,H,Hybrid,21,2,3,0,0,0,26,0,0,7,12,2,1,1,0,1,2,0,0,0,Spring 2020,6,ENGL ,1101,Undergraduate,0.3500000000000001,2019-2020,Hybrid,Undergraduate
2019,Fall,80182,"Brooks, Jody",ENGL 1101,3.42,25,H,Hybrid,12,5,0,0,2,0,19,12,5,7,3,2,2,2,1,0,0,0,0,2,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,17017,3.28,25,H,Hybrid,16,4,2,0,3,0,25,12,0,4,11,1,1,3,0,1,1,0,0,3,Spring 2020,6,ENGL ,1101,Undergraduate,-0.14000000000000012,2019-2020,Hybrid,Undergraduate
2019,Fall,80182,"Brooks, Jody",ENGL 1101,3.42,25,H,Hybrid,12,5,0,0,2,0,19,12,5,7,3,2,2,2,1,0,0,0,0,2,Fall 2019,5,ENGL ,1101,Undergraduate,2020,Spring,22409,3.33,25,H,Hybrid,17,3,1,1,2,0,24,16,0,5,7,5,1,1,1,0,1,0,1,2,Spring 2020,6,ENGL ,1101,Undergraduate,-0.08999999999999986,2019-2020,Hybrid,Undergraduate
2019,Fall,80185,"Byrom, Brittny",ENGL 1102,3.23,24,T,Face-to-Face,13,6,0,0,3,0,22,16.7,1,2,9,2,3,2,1,0,0,0,0,3,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,20121,3.26,25,T,Face-to-Face,12,8,1,0,2,0,23,16,0,1,10,1,4,2,2,1,0,0,0,2,Spring 2020,6,ENGL ,1102,Undergraduate,0.029999999999999805,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80187,"Pennington, Donna",ENGL 1102,2.79,25,T,Face-to-Face,11,5,4,1,3,0,24,20,0,2,4,5,1,4,0,0,4,0,1,3,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,10232,2.96,25,T,Face-to-Face,15,3,1,0,5,0,24,24,0,1,13,1,1,1,1,0,1,0,0,5,Spring 2020,6,ENGL ,1102,Undergraduate,0.16999999999999993,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80190,"Sayeed, Shabana",ENGL 1102,3.58,25,T,Face-to-Face,18,2,4,0,0,0,24,0,1,2,12,4,1,0,1,2,1,1,0,0,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,10244,3.84,24,T,Face-to-Face,17,2,0,0,0,0,19,4.2,4,3,8,6,1,1,0,0,0,0,0,0,Spring 2020,6,ENGL ,1102,Undergraduate,0.2599999999999998,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80192,"Dey Roy, Namrata",ENGL 1102,3.29,25,T,Face-to-Face,10,13,0,1,0,0,24,8,0,0,1,9,7,6,0,0,0,0,1,0,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,14222,3.48,25,T,Face-to-Face,19,4,0,0,2,0,25,8,0,0,13,6,2,1,1,0,0,0,0,2,Spring 2020,6,ENGL ,1102,Undergraduate,0.18999999999999995,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80194,"Sayeed, Shabana",ENGL 1102,3.59,25,T,Face-to-Face,18,1,1,1,1,0,22,16,1,4,13,1,1,0,0,0,1,0,1,1,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,10244,3.84,24,T,Face-to-Face,17,2,0,0,0,0,19,4.2,4,3,8,6,1,1,0,0,0,0,0,0,Spring 2020,6,ENGL ,1102,Undergraduate,0.25,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80195,"Elrod, Anna",ENGL 1102,2.52,25,T,Face-to-Face,12,2,1,2,6,0,23,36,1,2,6,4,1,0,1,1,0,0,2,6,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,12039,2.96,25,T,Face-to-Face,13,3,4,1,3,0,24,20,0,0,13,0,1,2,0,3,1,0,1,3,Spring 2020,6,ENGL ,1102,Undergraduate,0.43999999999999995,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80196,"Elrod, Anna",ENGL 1102,2.91,24,T,Face-to-Face,8,9,3,1,2,0,23,16.7,0,2,4,2,3,4,2,2,1,0,1,2,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,12039,2.96,25,T,Face-to-Face,13,3,4,1,3,0,24,20,0,0,13,0,1,2,0,3,1,0,1,3,Spring 2020,6,ENGL ,1102,Undergraduate,0.04999999999999982,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80197,"Schock, Carlye",ENGL 1102,2.7,24,T,Face-to-Face,6,6,6,0,2,0,20,20.8,1,0,5,1,2,3,1,0,6,0,0,2,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,12208,3.65,25,T,Face-to-Face,18,4,0,1,0,0,23,12,0,0,14,4,0,3,1,0,0,0,1,0,Spring 2020,6,ENGL ,1102,Undergraduate,0.9499999999999997,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80198,"Dey Roy, Namrata",ENGL 1102,3.54,25,T,Face-to-Face,18,5,0,0,1,0,24,8,0,0,8,10,3,1,1,0,0,0,0,1,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,14222,3.48,25,T,Face-to-Face,19,4,0,0,2,0,25,8,0,0,13,6,2,1,1,0,0,0,0,2,Spring 2020,6,ENGL ,1102,Undergraduate,-0.06000000000000005,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80200,"Banerjee, Abhik",ENGL 1102,2.91,24,T,Face-to-Face,14,4,0,0,5,0,23,25,0,0,7,7,4,0,0,0,0,0,0,5,Fall 2019,5,ENGL ,1102,Undergraduate,2020,Spring,12644,3.24,25,T,Face-to-Face,17,5,0,0,3,0,25,12,0,0,9,8,2,3,0,0,0,0,0,3,Spring 2020,6,ENGL ,1102,Undergraduate,0.33000000000000007,2019-2020,Face-to-Face,Undergraduate
